codigo_municipio;nome_municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
3117603;Conceição do Pará (MG);4290;6198;8213;7687;6776;7583;7507;6723;6998;7581;8836;10949;11098;11828;11141;14734;13175
3117702;Conceição do Rio Verde (MG);9058;10619;15324;17189;25834;18795;15692;18982;25317;29564;30021;28582;34463;36803;52384;42617;40226
3117801;Conceição dos Ouros (MG);3277;2800;4149;4971;5072;5622;7375;7439;6217;7408;6571;7911;7433;5893;6391;7723;5728
3117836;Cônego Marinho (MG);1447;2385;2726;3272;2947;3053;3653;3152;4321;4596;3779;4923;5580;4568;5964;4383;3635
3117876;Confins (MG);472;636;572;372;261;185;193;208;162;205;249;338;334;309;420;205;162
3117900;Congonhal (MG);2644;3094;4336;4528;4700;5542;5138;5463;5987;7401;7021;8153;7711;8134;11963;9316;8769
3118007;Congonhas (MG);481;951;1061;1119;1268;1563;1622;1236;1367;1610;1160;1951;1664;1702;1934;2166;2117
3118106;Congonhas do Norte (MG);954;1181;1603;1705;1585;1857;2060;2105;2276;2662;2965;3396;4910;3331;3836;2558;2400
3118205;Conquista (MG);24674;24049;31953;31255;32941;33367;31425;38835;46463;75179;69079;74084;65858;58716;96431;107787;89117
3118304;Conselheiro Lafaiete (MG);2442;3522;4531;3652;4114;4343;4599;4222;4775;4897;4546;9107;7490;8063;12021;10800;9695
3118403;Conselheiro Pena (MG);9393;11924;15770;17755;19571;21748;27157;37313;26722;40432;46759;37622;48020;34881;42328;46975;26181
3118502;Consolação (MG);1809;2005;2471;2399;2423;2473;2883;3108;3485;4174;5146;5884;6477;7027;9116;5918;5874
3118601;Contagem (MG);279;314;380;559;598;710;1089;1161;1121;1223;1345;1611;1708;1856;2401;2038;1907
3118700;Coqueiral (MG);13770;15116;22246;19285;25178;17620;17883;20727;27005;47152;37851;29295;44160;41339;70499;40860;44448
3118809;Coração de Jesus (MG);9557;11991;15788;13300;12242;19690;20099;24802;31552;39373;181265;57867;30110;32792;41275;21431;21342
3118908;Cordisburgo (MG);6413;8078;8950;9404;11265;11184;11265;12046;12809;15991;15918;20316;23574;24355;29719;18467;19857
3119005;Cordislândia (MG);6637;5929;10260;8000;10404;8538;11107;9517;12975;21884;11912;12711;18885;15849;30409;18132;18474
3119104;Corinto (MG);9507;12088;52056;29722;26458;30039;17377;17842;26231;100194;109978;56423;46974;47932;35888;32248;31078
